Sample Name	Protocol REF	Assay Name	Raw Data File	Protocol REF	Derived Data File
3001water_regimerainfed	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
3001water_regimewatered	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
3002water_regimerainfed	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
3002water_regimewatered	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
3003water_regimerainfed	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
3003water_regimewatered	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
3004water_regimerainfed	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
3004water_regimewatered	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
3005water_regimerainfed	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
3005water_regimewatered	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
3006water_regimerainfed	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
3006water_regimewatered	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
3007water_regimerainfed	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
3007water_regimewatered	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
3008water_regimerainfed	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
3008water_regimewatered	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
3009water_regimerainfed	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
3009water_regimewatered	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
3010water_regimerainfed	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
3010water_regimewatered	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
3011water_regimerainfed	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
3011water_regimewatered	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
3012water_regimerainfed	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
3012water_regimewatered	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
3013water_regimerainfed	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
3013water_regimewatered	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
3014water_regimerainfed	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
3014water_regimewatered	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
3015water_regimerainfed	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
3015water_regimewatered	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
3016water_regimerainfed	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
3016water_regimewatered	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
3017water_regimerainfed	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
3017water_regimewatered	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
3018water_regimerainfed	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
3018water_regimewatered	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
3019water_regimerainfed	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
3019water_regimewatered	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
3020water_regimerainfed	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
3020water_regimewatered	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
3021water_regimerainfed	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
3021water_regimewatered	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
3022water_regimerainfed	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
3022water_regimewatered	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
3023water_regimerainfed	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
3023water_regimewatered	Phenotyping	virtual_trial	NA in endpoint	Data Transformation	d_dXJuOlVSR0kvc3R1ZHkvTmVyMTI=_virtual_trial.txt
